thai,category,english_gloss,informal_romanization
สวัสดี,common,hello,sawatdee
ขอบคุณ,common,thank you,khopkhun
ใช่,common,yes,chai
ไม่,common,no,mai
เป็น,common,to be,pen
ได้,common,can/get,dai
อะไร,common,what,arai
ทำไม,common,why,tammai
คน,common,person,khon
บ้าน,common,house,baan
ข้าว,food,rice,khao
น้ำ,food,water,nam
ผัดไทย,food,pad thai,phat thai
ต้มยำกุ้ง,food,tom yum goong,tomyamkung
ส้มตำ,food,som tam,somtam
กาแฟ,food,coffee,kafae
เบียร์,food,beer,bia
ชา,food,tea,cha
ไก่,food,chicken,kai
หมู,food,pork,moo
กรุงเทพ,places,Bangkok,krungthep
เชียงใหม่,places,Chiang Mai,chiangmai
ภูเก็ต,places,Phuket,phuket
พัทยา,places,Pattaya,pattaya
อยุธยา,places,Ayutthaya,ayutthaya
สุโขทัย,places,Sukhothai,sukhothai
หาดใหญ่,places,Hat Yai,hatyai
ประเทศไทย,places,Thailand,pratetthai
ไป,verbs,to go,pai
มา,verbs,to come,ma
กิน,verbs,to eat,kin
ดู,verbs,to look,doo
พูด,verbs,to speak,phood
ฟัง,verbs,to listen,fang
อ่าน,verbs,to read,aan
เขียน,verbs,to write,khian
รัก,verbs,to love,rak
ซื้อ,verbs,to buy,sue
ขาย,verbs,to sell,khai
นอน,verbs,to sleep,non
สนุก,slang,fun,sanuk
เท่,slang,cool,thae
แซ่บ,slang,delicious/spicy,saep
ชิล,slang,chill,chin
โอเค,slang,okay,okay
กลัว,slang,scared,klua
เหนื่อย,slang,tired,nuay
หิว,slang,hungry,hiu
อร่อย,slang,delicious,aroi
เผ็ด,slang,spicy,phet
โรงเรียน,compounds,school,rongrean
โรงพยาบาล,compounds,hospital,rongphayaban
สนามบิน,compounds,airport,sanambin
มหาวิทยาลัย,compounds,university,mahawittayalai
โทรศัพท์,compounds,telephone,thorasap
คอมพิวเตอร์,compounds,computer,khompiwtoe
ห้องน้ำ,compounds,bathroom,hongnam
ตลาด,compounds,market,talat
รถไฟ,compounds,train,rotfai
ตำรวจ,compounds,police,tamruat
แท็กซี่,loanwords,taxi,taxi
อินเทอร์เน็ต,loanwords,internet,internet
เฟซบุ๊ก,loanwords,Facebook,facebook
ไลน์,loanwords,LINE,line
กูเกิล,loanwords,Google,google
ช็อกโกแลต,loanwords,chocolate,chocolate
พิซซ่า,loanwords,pizza,pizza
ฟุตบอล,loanwords,football,football
วิดีโอ,loanwords,video,video
เซลฟี,loanwords,selfie,selfie
ครับ,common,polite particle (male),khrap
ค่ะ,common,polite particle (female),kha
พี่,common,older sibling,phi
น้อง,common,younger sibling,nong
แม่,common,mother,mae
พ่อ,common,father,pho
เงิน,common,money,ngoen
เวลา,common,time,wela
สวย,common,beautiful,suay
หล่อ,common,handsome,lor
